Resolución;Fecha;Resumen;Subtema;año
 .069-2005-;22/04/2005; .069-2005- Aprueban Factor de Recargo del Fondo de Compensación Social Eléctrica (FOSE), aplicable en la facturación del período mayo - julio 2005, así como Programa Trimestral de Transferencias Externas. (e.22/04/2005, p.28/04/2005);Tarifarias;2005
 .070-2005-;22/04/2005; .070-2005- Aprueban Factor de Balance de Potencia Coincidente en Horas de Punta (FBP) a nivel de empresa aplicable al VADMT y VADBT. (e.22/04/2005, p.28/04/2005);Tarifarias;2005
 .071-2005-;22/04/2005; .071-2005- Fijan Factores de Ponderación de los Valores Agregados de Distribución de empresas de distribución eléctrica para el período mayo - octubre 2005. (e.22/04/2005, p.28/04/2005);Tarifarias;2005
 .072-2005-;22/04/2005; .072-2005- Aprueban Factores de Ponderación del Precio de la Energía aplicables para el cálculo del cargo de energía de diversas opciones tarifarias. (e.22/04/2005, p.28/04/2005);Tarifarias;2005
 .081-2005-;22/04/2005; .081-2005- Rectifican valores consignados en Cuadro de Resolución mediante la cual se fijó Tarifas Barra para el período mayo 2005 - abril 2006. (e.22/04/2005, p.05/05/2005);Tarifarias;2005
 .083-2005-;11/05/2005;" .083-2005- Disponen la publicación del Proyecto de rma ""Procedimiento para el Pago de los Costos Eficientes al Coordinador de la Operación del SEIN y a las Entidades Delegadas"". (e.11/05/2005, p.14/05/2005)";Tarifarias;2005
 .093-2005-;24/05/2005; .093-2005- Precisan que las Tarifas del Sistema Secundario de Hidrandina S.A. para el cliente libre Trupal S.A., se encuentran debidamente reguladas. (e.24/05/2005, p.27/05/2005);Tarifarias;2005
 .094-2005-;24/05/2005; .094-2005- Disponen la publicación del proyecto de resolución que fija las tarifas y compensaciones de las líneas de transmisión secundarias L-251 y L-252 en lo que respecta a TERMOSELVA S.R.L. (e.24/05/2005, p.27/05/2005);Tarifarias;2005
 .097-2005-;9/06/2005;" .097-2005- Disponen la pre publicación del proyecto de rma ""Opciones Tarifarias y Condiciones de Aplicación de las Tarifas a Usuario Final"". (e.09/06/2005, p.11/06/2005)";Tarifarias;2005
 .098-2005-;9/06/2005;" .098-2005- Aprueban la rma ""Procedimiento para el Reajuste de las Tarifas en los Sistemas Aislados"". (e.09/06/2005, p.12/06/2005)";Tarifarias;2005
 .099-2005-;9/06/2005;" .099-2005- Aprueban la rma ""Procedimiento para el Pago de los Costos Eficientes al Coordinador de la Operación del SEIN y a las Entidades Delegadas"". (e.09/06/2005, p.12/06/2005)";Tarifarias;2005
 .126-2005-;15/06/2005;" .126-2005- Disponen la publicación del proyecto de rma ""Procedimientos y Métodos de Cálculo para la determinación de la Viabilidad Técnica-Económica de Nuevos Suministros de Gas Natural"" y su exposición de motivos. (e.15/06/2005, p.18/06/2005)";Tarifarias;2005
 .128-2005-;15/06/2005; .128-2005- Declaran sin lugar la nulidad solicitada e infundado en todos sus extremos, el recurso de reconsideración interpuesto por el Comité de Operación Económica del Sistema Eléctrico Interconectado Nacional (COES-SINAC) contra la Resolución   066-2005- que fijó Tarifas en Barra para el período Mayo 2005 - Abril 2006. (e.15/06/2005, p.19/06/2005);Tarifarias;2005
 .130-2005-;15/06/2005; .130-2005- Declaran improcedente en un extremo y fundado en parte en otro extremo, el recurso de reconsideración interpuesto por Red de de Energía del Perú S.A. (REP) contra la Resolución   066-2005- que fijó Tarifas en Barra para el período Mayo 2005 - Abril 2006. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .131-2005-;15/06/2005; .131-2005- Declaran infundado el recurso de reconsideración interpuesto por Eteselva S.R.L. contra la Resolución   066-2005- que fijó Tarifas en Barra para el período Mayo 2005 - Abril 2006. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .133-2005-;15/06/2005; .133-2005- Declaran infundado en todos sus extremos, el recurso de reconsideración interpuesto por el Consorcio Transmantaro S.A. (CTM) contra la Resolución   066-2005- que fijó Tarifas en Barra para el período Mayo 2005 - Abril 2006. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .136-2005-;15/06/2005; .136-2005- Declaran improcedente el recurso de reconsideración interpuesto por Termoselva S.R.L. contra las Resoluciones   063-2005- y 065-2005- que fijaron para diversas empresas las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .137-2005-;15/06/2005; .137-2005- Declaran infundado el recurso de reconsideración interpuesto por Termoselva S.R.L. contra las Resolución   064-2005- que fijó para diversas empresas las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .138-2005-;15/06/2005; .138-2005- Declaran improcedente en un extremo e infundado en otro extremo, el recurso de reconsideración interpuesto por Eteselva S.R.L. contra las Resoluciones   063-2005- y 065-2005- que fijaron para diversas empresas, las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .139-2005-;15/06/2005; .139-2005- Declaran infundado el recurso de reconsideración interpuesto por Eteselva S.R.L. contra la Resolución   064-2005- que fijó para diversas empresas las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .140-2005-;15/06/2005; .140-2005- Declaran improcedente el recurso de reconsideración interpuesto por Red de de Energía del Perú S.A. (REP) contra las Resoluciones   064-2005- y 065-2005- que fijaron para diversas empresas, las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .142-2005-;15/06/2005; .142-2005- Declaran fundado en us extremos y fundado en parte en otros extremos el recurso de reconsideración interpuesto por Electroandes S.A. contra las Resoluciones   064-2005- y 065-2005- que fijaron para diversas empresas, las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .143-2005-;15/06/2005;" .143-2005- Declaran improcedente el pedido de nulidad parcial y fundado en parte en dos extremos el Recurso de Reconsideración interpuesto por la Empresa Compañía Minera Antamina S.A. contra las Resoluciones 066-2005- por la cual se fijan las Tarifas en Barra para el período Mayo 2005 ? Abril 2006; y las Resoluciones 063-2005- y 065-2005- que fijaron para diversas empresas, las Tarifas y Compensaciones para el Sistema Secundario de Transmisión para el período Mayo 2005 - Abril 2007. (e.15/06/2005, p.20/06/2005)";Tarifarias;2005
 .144-2005-;15/06/2005;" .144-2005- Resolución mediante la cual disponen la modificación de las tarifas y compensaciones del Sistema Secundario de Transmisión que correspondan; aprueban Reajuste de Liquidación Anual de la Remuneración Anual Garantizada de Red de Energía del Perú S.A. (REP); disponen la modificación de las tarifas y compensaciones por el Sistema Secundario de Transmisión de Electrocentro S.A.; disponen la modificación de los Peajes por Conexión y los Peajes por Conexión Unitarios del Sistema Principal de Transmisión que correspondan; disponen la modificación de la tarifa del Sistema Secundario de Transmisión de Aguaytía - Pucallpa de ISA PERÚ S.A.; modifican deminación de la definición del térmi CM0; y rectifican el error material contenido en Resolución 065-2005-. (e.15/06/2005, p.20/06/2005)";Tarifarias;2005
 .145-2005-;15/06/2005; .145-2005- Resolución mediante la cual reemplazan cuadros y modifican Artículo de la Resolución   066-2005-. (e.15/06/2005, p.20/06/2005);Tarifarias;2005
 .147-2005-;24/06/2005;" .147-2005- Resolución mediante la cual disponen la pre publicación del proyecto de resolución que modifica la rma ""Procedimientos para Fijación de Precios Regulados"" (Res.   001-2003-). (e.24/06/2005, p.01/07/2005)";Tarifarias;2005
 .155-2005-;30/06/2005; .155-2005- Declaran Improcedente el recurso de reconsideración interpuesto por la empresa ELECTROANDES S.A. contra la Resolución   094-2005-. (e.30/06/2005, p.01/07/2005);Tarifarias;2005
 .156-2005-;30/06/2005; .156-2005- Fijan compensaciones que deben ser pagadas por la empresa TERMOSELVA S.R.L. por las líneas de transmisión L-251 y L-252, y sus celdas de conexión. (e.30/06/2005, p.01/07/2005);Tarifarias;2005
 .157-2005-;30/06/2005; .157-2005- Fijan clasificación de los sistemas de distribución eléctrica y factores de ponderación de los Valores Agregados de Distribución de las empresas de distribución eléctrica. (e.30/06/2005, p.02/07/2005);Tarifarias;2005
 .180-2005-;25/07/2005; .180-2005- Resolución mediante la cual disponen la pre publicación del Proyecto de Resolución que fija el Valor Nuevo de Reemplazo de las instalaciones de Distribución Eléctrica. (e.25/07/2005, p.01/08/2005);Tarifarias;2005
 .181-2005-;25/07/2005; .181-2005- Resolución mediante la cual disponen la pre publicación del Proyecto de Resolución que fija las Tarifas de Distribución Eléctrica aplicables al período comprendido entre el 1 de viembre de 2005 y el 31 de octubre de 2009. (e.25/07/2005, p.01/08/2005);Tarifarias;2005
 .182-2005-;25/07/2005; .182-2005- Aprueban Factor de Recargo del Fondo de Compensación Social Eléctrica (FOSE) y el Programa Trimestral de Transferencias Externas correspondiente al período agosto-octubre. (e.25/07/2005, p.27/07/2005);Tarifarias;2005
 .183-2005-;25/07/2005; .183-2005- Resolución mediante la cual disponen la pre publicación del Proyecto de Resolución que fija las Tarifas y compensaciones correspondientes al Sistema Secundario de Transmisión en la Subestación Paramonga Nueva. (e.25/07/2005, p.30/07/2005);Tarifarias;2005
 .184-2005-;25/07/2005; .184-2005- Resolución mediante la cual precisan proceso de determinación de los factores de pérdidas marginales a que se refiere el numeral 1.2 del Artículo 1° de la Resolución   066-2005-. (e.25/07/2005, p.30/07/2005);Tarifarias;2005
 .185-2005-;25/07/2005;" .185-2005- Resolución mediante la cual se modifica la rma ""Procedimientos para Fijación de Precios Regulados"", aprobada mediante Resolución   0001-2003-. (e.25/07/2005, p.28/07/2005)";Tarifarias;2005
 .230-2005-;23/08/2005;" .230-2005- Resolución que aprueba la publicación del documento ""Proceso de Regulación de Tarifas en Barra"" correspondiente al período mayo 2005 - abril 2006. (e.23/08/2005, p.29/08/2005)";Tarifarias;2005
 .234-2005-;23/08/2005;" .234-2005- Aprueban rma ""Procedimiento para Fijación de Tarifas y Compensaciones para Sistemas Secundarios de Transmisión a la entrada de nuevas centrales de generación"". (e.23/08/2005, p.28/08/2005)";Tarifarias;2005
 .237-2005-;23/08/2005; .237-2005- Declaran fundado en parte Recurso de Reconsideración interpuesto por la empresa HIDRANDINA contra la Resolución   157-2005- que fijó la clasificación de los sistemas de distribución eléctrica y los factores de ponderación de los Valores Agregados de Distribución para el período viembre 2005 - octubre 2009. (e.23/08/2005, p.25/08/2005);Tarifarias;2005
 .238-2005-;23/08/2005; .238-2005- Declaran fundado en parte Recurso de Reconsideración interpuesto por la empresa ELECTROCENTRO contra la Resolución   157-2005- que fijó la clasificación de los sistemas de distribución eléctrica y los factores de ponderación de los Valores Agregados de Distribución para el período viembre 2005 - octubre 2009. (e.23/08/2005, p.29/08/2005);Tarifarias;2005
 .239-2005-;23/08/2005; .239-2005- Declaran fundado en parte el Recurso de Reconsideración interpuesto por la empresa ELECTRORTE contra la Resolución   157-2005- que fijó la clasificación de los sistemas de distribución eléctrica y los factores de ponderación de los Valores Agregados de Distribución para el período viembre 2005 - octubre 2009. (e.23/08/2005, p.31/08/2005);Tarifarias;2005
 .240-2005-;23/08/2005; .240-2005- Declaran fundado en parte el Recurso de Reconsideración interpuesto por la empresa ELECTROROESTE contra la Resolución   157-2005- que fijó la clasificación de los sistemas de distribución eléctrica y los factores de ponderación de los Valores Agregados de Distribución para el período viembre 2005 - octubre 2009. (e.23/08/2005, p.31/08/2005);Tarifarias;2005
 .241-2005-;23/08/2005; .241-2005- Declaran improcedente el Recurso de Reconsideración interpuesto por la empresa ELECTROSUR contra la Resolución   157-2005- que fijó la clasificación de los sistemas de distribución eléctrica y los factores de ponderación de los Valores Agregados de Distribución para el período viembre 2005 - octubre 2009. (e.23/08/2005, p.29/08/2005);Tarifarias;2005
 .260-2005-;1/09/2005; .260-2005- Aprueban tarifas y compensaciones para el Sistema Secundario De Transmisión ubicado en la Subestación Paramonga Nueva y modifican las Resoluciones s. 065 y 066-2005-. (e.01/09/2005, p.02/09/2005);Tarifarias;2005
 .263-2005-;8/09/2005;" .263-2005- Aprueban la rma ""Procedimientos y Métodos de Cálculo para la Determinación de la Viabilidad Técnica - Económica de Nuevos Suministros de Gas Natural"". (e.08/09/2005, p.11/09/2005)";Tarifarias;2005
 .312-2005-;27/09/2005;" .312-2005- Disponen la publicación del proyecto de resolución que modifica el numeral 12.4 de la rma ""Criterios, Metodología y Formularios para la presentación de propuestas tarifarias de los Sistemas Secundarios de Transmisión"". (e.27/09/2005, p.30/09/2005)";Tarifarias;2005
 .313-2005-;27/09/2005;" .313-2005- Disponen la publicación del proyecto de rma ""Estándares Técnicos Mínimos del Equipamiento para la Coordinación de la Operación en tiempo real del SEIN"". (e.27/09/2005, p.30/09/2005)";Tarifarias;2005
 .338-2005-;6/10/2005; .338-2005- Disponen la prepublicación del proyecto de resolución que aprueba la modificación del Artículo 8 de la Resolución 097-2004-, en lo referente al procedimiento para efectuar la actualización de tarifas y acometidas. (e.06/10/2005, p.13/10/2005);Tarifarias;2005
 .340-2005-;6/10/2005;" .340-2005- Disponen la prepublicación del proyecto de rma ""Procedimiento para la Fijación de la Compensación que deben pagar las Centrales de Generación por el Uso de Sistemas de Distribución Eléctrica"". (e.06/10/2005, p.15/10/2005)";Tarifarias;2005
 .364-2005-;13/10/2005; .364-2005- Modifican definiciones PD2 y PR6 contenidas en el numeral 1.2 del Art. 2° de la Res.  066-2005-, que fijó Tarifas en Barra para el periodo mayo 2005-abril 2006. (e.13/10/2005, p.14/10/2005);Tarifarias;2005
 .366-2005-;13/10/2005; .366-2005- Declaran improcedente el recurso de revisión interpuesto por ELECTROSUR SOCIEDAD ANÓNIMA, contra la Resolución   241-2005-. (e.13/10/2005, p.15/10/2005);Tarifarias;2005
 .367-2005-;13/10/2005; .367-2005- Declaran improcedente el recurso de apelación interpuesto por la Empresa Regional de Servicio Público de Electricidad del Centro Sociedad Anónima, contra la Resolución    238-2005-. (e.13/10/2005, p.15/10/2005);Tarifarias;2005
 .368-2005-;13/10/2005; .368-2005- Declaran improcedente el recurso de apelación interpuesto por la Empresa Regional de Servicio Público de Electricidad ELECTROROESTE S.A., contra la Resolución   240-2005-. (e.13/10/2005, p.15/10/2005);Tarifarias;2005
 .369-2005-;13/10/2005; .369-2005- Fíjese el Valor Nuevo de Reemplazo de las instalaciones de distribución eléctrica. (e.13/10/2005, p.16/10/2005);Tarifarias;2005
 .370-2005-;13/10/2005; .370-2005- Fíjese los Valores Agregados de Distribución, Cargos Fijos y Parámetros de Cálculo Tarifario y las fórmulas de actualización. (e.13/10/2005, p.16/10/2005);Tarifarias;2005
 .371-2005-;13/10/2005; .371-2005- Declaran infundado, en todos sus extremos, el recurso de reconsideración interpuesto por Red de Energía del Perú S.A., contra la Resolución   260-2005-. (e.13/10/2005, p.17/10/2005);Tarifarias;2005
 .391-2005-;25/10/2005; .391-2005- Aprueban Factor de Recargo del Fondo de Compensación Social Eléctrica (FOSE) aplicable en la facturación del Programa Trimestral de Transferencias Externas del período viembre 2005 ? Enero 2006. (e.25/10/2005, p.27/10/2005);Tarifarias;2005
 .392-2005-;25/10/2005;" .392-2005- Declaran improcedente Recurso de Reconsideración interpuesto por el COES contra la Resolución 235-2005- por la cual se aprobó la rma ""Formularios, Plazos y Medios para el Suministro de Información de la Operación del Sistema Eléctrico Interconectado Nacional. (e.25/10/2005, p.28/10/2005)";Tarifarias;2005
 .393-2005-;25/10/2005; .393-2005- Disponen la pre publicación del proyecto de resolución que fija Tarifas en Barra aplicables a la Barra Carhuamayo Nueva 220 kV. (e.25/10/2005, p.27/10/2005);Tarifarias;2005
 .409-2005-;31/10/2005;" .409-2005- Modifican numeral 12.4 de la rma ""Criterios, metodología y Formularios para la Presentación de Propuestas Tarifarias de los Sistemas Secundarios de Transmisión"". (e.31/10/2005, p.04/11/2005)";Tarifarias;2005
 .410-2005-;31/10/2005; .410-2005- Declaran nulidad de la Resolución 337-2005- por la cual se dispuso la pre publicación del proyecto de Resolución que fija topes máximos de acometidas y sus cargos de mantenimiento para la concesión de distribución de gas natural. (e.31/10/2005, p.05/11/2005);Tarifarias;2005
 .412-2005-;15/11/2005; .412-2005- Amplían plazo para presentación de Estudios Técnico - Económicos de las Propuestas Tarifarias de Sistemas Secundarios de Transmisión, para la Fijación Tarifaria del período Mayo 2007 - Abril 2011. (e.15/11/2005, p.18/11/2005);Tarifarias;2005
 .413-2005-;15/11/2005; .413-2005- Incorporan Tarifas en Barra correspondientes a la Subestación Base Carhuamayo Nueva 220 kV en la Resolución 066-2005-. (e.15/11/2005, p.19/11/2005);Tarifarias;2005
 .414-2005-;15/11/2005;" .414-2005- Aprueban rma ""Módulos Estándar de Inversión para la Regulación de los Sistemas Secundarios de Transmisión"". (e.15/11/2005, p.21/11/2005)";Tarifarias;2005
 .416-2005-;15/11/2005;" .416-2005- Disponen la publicación del Proyecto de rma ""Procedimiento para la Determinación del Plan de Obras de Generación para la determinación de las Tarifas en Barra"". (e.15/11/2005, p.18/11/2005)";Tarifarias;2005
 .417-2005-;15/11/2005;" .417-2005- Aprueban rma ""Procedimiento para la Fijación de la Compensación qe deben pagar las Centrales de Generación por el Uso de Sistemas de Distribución"". (e.15/11/2005, p.17/11/2005)";Tarifarias;2005
 .418-2005-;15/11/2005;" .418-2005- Disponen la publicación del Proyecto de Resolución que fija los ""Topes Máximos de Acometida y sus Cargos de Mantenimiento"" aplicables al período 2005 - 2008, para la Concesión de Lima y Callao. (e.15/11/2005, p.18/11/2005)";Tarifarias;2005
 .433-2005-;29/11/2005; .433-2005- Modifican numeral A.3 del Artículo 8° de la Resolución 097-2004-, por la cual se aprobaron tarifas de distribución en baja presión para consumidores ubicados dentro de la Concesión de Distribución de Gas Natural de Lima y Callao. (e.29/11/2005, p.02/12/2005);Tarifarias;2005
 .435-2005-;29/11/2005; .435-2005- Dejan sin efecto Artículo 3° del Anexo A de la Resolución 394-2005- del Procedimiento de Entrega de Información de Precios del Mercado Inter de Combustibles Derivados de Hidrocarburos. (e.29/11/2005, p.02/12/2005);Tarifarias;2005
 .436-2005-;29/11/2005;" .436-2005- Aprueban la rma ""Estándares Técnicos Mínimos del Equipamiento para la Coordinación de la Operación en Tiempo Real del SEIN"" y su Exposición de Motivos. (e.29/11/2005, p.03/12/2005)";Tarifarias;2005
 .437-2005-;29/11/2005; .437-2005- Fijan costos eficientes de inversión, de operación y de mantenimiento por la coordinación de la operación en tiempo real del SEIN. (e.29/11/2005, p.03/12/2005);Tarifarias;2005
 .438-2005-;29/11/2005;" .438-2005- Disponen la publicación del proyecto de modificación de la rma ""Formularios, Plazos y Medios para el Suministro de Información de la Operación del Sistema Eléctrico Interconectado Nacional"". (e.29/11/2005, p.04/12/2005)";Tarifarias;2005
 .439-2005-;29/11/2005; .439-2005- Declaran infundado Recurso de Reconsideración interpuesto por la Empresa ELECTRO ORIENTE contra la Resolución 364-2005-, por la cual se modificaron las definiciones PD2 y PR6 contenidas en la Resolución 066-2005-. (e.29/11/2005, p.02/12/2005);Tarifarias;2005
 .440-2005-;29/11/2005; .440-2005- Fijan clasificación del sistema de distribución eléctrica San Gabán perteneciente a Electro Pu S.A. (e.29/11/2005, p.02/12/2005);Tarifarias;2005
 .442-2005-;7/12/2005;" .442-2005- Disponen la publicación del proyecto de resolución que modifica la rma: ""Procedimiento de Cálculo de Garantía por Red Principal (GRP) del Proyecto Camisea"". (e.07/12/2005, p.10/12/2005)";Tarifarias;2005
 .446-2005-;7/12/2005; .446-2005- Declaran inaplicables, en lo que se refiere a las instalaciones de las líneas de transmisión a 220 kV Aguaytía - Tingo María(L-251) y Tingo María - Vizcarra (L-252), diversas resoluciones de Consejo Directivo de , y Fijan compensaciones que deben ser pagadas por empresas de generación y el Cargo Base de Peaje Secundario por Transmisión Equivalente en Energía por la demanda del Sistema Eléctrico Interconectado Nacional, a Eteselva S.R.L. y Antamina S.A. (e.07/12/2005, p.15/12/2005);Tarifarias;2005
 .447-2005-;20/12/2005;" .447-2005- Fíjense los Topes Máximos por la Acometida (TMA) para categorías de consumidores C y D, aplicable a la Concesión de distribución de gas natural por red de ductos en Lima y Callao; que incluyen el costo de la Estación de Regulación y Medición (ERM), el costo de la instalación y el costo de la inspección y habilitación de la acometida, efectuados por el Concesionario. (e.20/12/2005, p.03/01/2006)";Tarifarias;2005
 .448-2005-;20/12/2005; .448-2005- Precisan que los factores de Actualización publicados en la Tabla del Artículo 1° de la Resolución  408-2005- solo deberán usarse hasta el primer reajuste de las Tarifas en Barra. (e.20/12/2005, p.24/12/2005);Tarifarias;2005
 .001-2006-;3/01/2006; .001-2006- Declaran fundado en parte el recurso de reconsideración interpuesto por las empresas ELECTROCENTRO, ELECTROROESTE, HIDRANDINA Y ELECTRORTE, contra la Resolución   369-2005-, mediante la cual se fijó el VNR de diversas empresas. (e.03/01/2006, p.04/01/2006);Tarifarias;2006
 .002-2006-;3/01/2006; .002-2006- Declaran fundado en parte el recurso de reconsideración interpuesto por la empresa LUZ DEL SUR S.A.A., contra la Resolución   369-2005-, mediante la cual se fijó el VNR de diversas empresas. (e.03/01/2006, p.04/01/2006);Tarifarias;2006
 .003-2006-;3/01/2006; .003-2006- Modifican el VNR de las instalaciones de distribución eléctrica de EDELR. (e.03/01/2006, p.04/01/2006);Tarifarias;2006
 .004-2006-;3/01/2006; .004-2006- Disponen la prepublicación del proyecto de Resolución que fija las tarifas y compensaciones correspondientes al SST involucrado con la entrada en operación comercial de la C.H. Yuncán. (e.03/01/2006, p.05/01/2006);Tarifarias;2006
 .006-2006-;3/01/2006;" .006-2006- Modifican artículo 4.6 de la rma ""Opciones Tarifarias y Condiciones de Aplicación de las Tarifas a Usuario Final"" aprobada por Resolución   236-2005-. (e.03/01/2006, p.05/01/2006)";Tarifarias;2006
 .015-2006-;3/01/2006; .015-2006- Disponen la prepublicación del proyecto de resolución que fija las tarifas y compensaciones correspondientes al Sistema Secundario de Transmisión involucrado con la entrada en operación comercial de la central hidroeléctrica Santa Rosa I. (e.03/01/2006, p.11/01/2006);Tarifarias;2006
 .016-2006-;4/01/2006; .016-2006- Declaran fundado en parte el recurso de reconsideración interpuesto por las empresas ELECTROCENTRO, ELECTROROESTE, ELECTRORTE e HIDRANDINA, contra la Resolución   370-2005-, mediante la cual se fijó las tarifas de distribución eléctrica. (e.04/01/2006, p.09/01/2006);Tarifarias;2006
 .017-2006-;4/01/2006; .017-2006- Declaran sin lugar la nulidad solicitada por la empresa LUZ DEL SUR S.A.A., y fundado en parte su recurso de reconsideración, contra la Resolución   370-2005-, mediante la cual se fijó las tarifas de distribución eléctrica. (e.04/01/2006, p.09/01/2006);Tarifarias;2006
 .018-2006-;4/01/2006; .018-2006- Declaran sin lugar la nulidad solicitada por la empresa Edecañete S.A. y fundado en parte su recurso de reconsideración, contra la Resolución   370-2005-, mediante la cual se fijó las tarifas de distribución eléctrica. (e.04/01/2006, p.09/01/2006);Tarifarias;2006
 .019-2006-;4/01/2006; .019-2006- Declaran sin lugar la nulidad solicitada por el Consorcio Eléctrico Villacurí S.A.C. y fundado en parte su recurso de reconsideración, contra la Resolución   370-2005-, mediante la cual se fijó las tarifas de distribución eléctrica. (e.04/01/2006, p.09/01/2006);Tarifarias;2006
 .020-2006-;4/01/2006; .020-2006- Declaran infundado el recurso de reconsideración interpuesto por Electro Oriente S.A., contra la Resolución   370-2005-, mediante la cual se fijó las tarifas de distribución eléctrica. (e.04/01/2006, p.09/01/2006);Tarifarias;2006
 .021-2006-;4/01/2006; .021-2006- Modifican Valores Agregados de Distribución y otros factores de la Resolución   370-2005-, mediante la cual se fijó las tarifas de distribución eléctrica. (e.04/01/2006, p.09/01/2006);Tarifarias;2006
 .023-2006-;17/01/2006;" .023-2006- Disponen la prepublicación del proyecto de modificaciones al ""Manual del Procedimiento, Formatos y Medios, para el Cálculo del Factor de Balance de Potencia Coincidente en Hora de Punta (FBP)"". (e.17/01/2006, p.20/01/2006)";Tarifarias;2006
 .024-2006-;17/01/2006;" .024-2006- Disponen la prepublicación del proyecto de modificación de la rma ""Procedimientos de Aplicación del Fondo de Compensación Social Eléctrica"". (e.17/01/2006, p.20/01/2006)";Tarifarias;2006
 .025-2006-;17/01/2006;" .025-2006- Modifican la rma ""Formularios, Plazos y Medios para el Suministro de Información de la Operación del Sistema Eléctrico Interconectado Nacional"" aprobada mediante Resolución  235-2005-. (e.17/01/2006, p.21/01/2006)";Tarifarias;2006
 .030-2006-;24/01/2006;" .030-2006- Disponen la publicación del proyecto de resolución que modifica la rma ""Procedimiento para Fijación de Precios Regulados"" y aprueba la rma ""Metodología, Criterios, Formatos y contenido de la Propuesta de Cargos Máximos por Corte y Reconexión del Servicio de Distribución de Gas Natural"". (e.24/01/2006, p.30/01/2006)";Tarifarias;2006
 .031-2006-;24/01/2006;" .031-2006- Disponen la publicación del Proyecto de rma: ""Procedimiento de Compensación Tarifaria en el Cálculo de los Peajes por Conexión al Sistema Principal de Transmisión debido al Ingreso Tarifario de los Enlaces Internacionales"". (e.24/01/2006, p.27/01/2006)";Tarifarias;2006
 .032-2006-;24/01/2006; .032-2006- Aprueban Factor de Recargo del Fondo de Compensación Social Eléctrica (FOSE) y Programa Trimestral de Transferencias Externas correspondientes al período febrero - abril 2006. (e.24/01/2006, p.28/01/2006);Tarifarias;2006
 .033-2006-;24/01/2006; .033-2006- Disponen la publicación del proyecto de resolución que establece diversas disposiciones sobre la fijación de las tarifas del servicio prepago. (e.24/01/2006, p.28/01/2006);Tarifarias;2006
 .037-2006-;7/02/2006; .037-2006- Fijan tarifas y compensaciones para el Sistema Secundario de Transmisión involucrado con la entrada en operación de la Central Hidroeléctrica Yuncán. (e.07/02/2006, p.09/02/2006);Tarifarias;2006
 .069-2006-;14/02/2006; .069-2006- Declaran  ha lugar la nulidad parcial de la Resolución 446-2005- solicitada por Eteselva S.R.L. y declaran infundado y fundado en parte primer y segundo petitorio respectivamente del Recurso de Reconsideración interpuesto por dicha empresa contra la Resolución 446-2005-. (e.14/02/2006, p.16/02/2006);Tarifarias;2006
 .070-2006-;14/02/2006; .070-2006- Declaran  ha lugar la nulidad parcial de la Resolución 446-2005- solicitada por Termoselva S.R.L. y declaran infundado y fundado en parte primer y segundo petitorio respectivamente del Recurso de Reconsideración interpuesto por dicha empresa contra la Resolución 446-2005-. (e.14/02/2006, p.16/02/2006);Tarifarias;2006
 .071-2006-;14/02/2006; .071-2006- Declaran fundado recurso de reconsideración interpuesto por Electroandes S.A. contra la Resolución 446-2005-. (e.14/02/2006, p.17/02/2006);Tarifarias;2006
 .072-2006-;14/02/2006; .072-2006- Dictan disposiciones complementarias para la aplicación de la Resolución 446-2005-. (e.14/02/2006, p.17/02/2006);Tarifarias;2006
 .073-2006-;14/02/2006; .073-2006- Declaran que  corresponde la asignación de pago algu al titular de la central hidroeléctrica Santa Rosa I por el sistema secundario de transmisión. (e.14/02/2006, p.17/02/2006);Tarifarias;2006
 .074-2006-;14/02/2006; .074-2006- Postergan plazo de presentación de estudios técnico - económicos de sustento de propuestas tarifarios de los Sistemas Secundarios de Transmisión para fijación tarifaria del período mayo 2007 - abril 2011. (e.14/02/2006, p.17/02/2006);Tarifarias;2006
 .075-2006-;14/02/2006; .075-2006- Disponen la publicación del proyecto de resolución que fija las Tarifas de la Red Principal de Camisea aplicables al período del 1 de mayo del 2006 al 30 de abril de 2008. (e.14/02/2006, p.17/02/2006);Tarifarias;2006
 .076-2006-;14/02/2006;" .076-2006- Disponen la publicación del proyecto de resolución que modifica la rma ""Procedimiento de Cálculo de Garantía por Red Principal (GRP) del Proyecto Camisea"". (e.14/02/2006, p.17/02/2006)";Tarifarias;2006
